"","tag","freq","prop","pct"
"107","footwear",443,0.0155651593408524,0.955480890382192
"108","beak",440,0.0154597519412529,0.955060898782024
"109","flower",425,0.0149327149432557,0.954430911381772
"110","wave",425,0.0149327149432557,0.954430911381772
"111","backpacking",418,0.0146867643441903,0.95380092398152
"112","organism",410,0.0144056779452584,0.953380932381352
"113","building",409,0.0143705421453919,0.952960940781184
"114","mist",407,0.014300270545659,0.952540949181016
"115","motor vehicle",402,0.0141245915463266,0.952120957580848
"116","grass family",400,0.0140543199465936,0.95170096598068
"117","dog breed group",392,0.0137732335476617,0.951280974380512
"118","bank",386,0.0135624187484628,0.950860982780344
"119","darkness",384,0.0134921471487298,0.950440991180176
"120","cliff",371,0.0130353817504655,0.950020999580008
"121","monochrome photography",366,0.0128597027511331,0.94960100797984
