"","tag","freq","prop","pct"
"52","flora",5669,0.0379980159794091,0.990226140283634
"53","outdoor recreation",5387,0.0361078342002252,0.99003449597547
"54","fauna",5163,0.0346064132125047,0.989842851667305
"55","morning",4916,0.0329508284626522,0.989651207359141
"56","landscape",4816,0.0322805512359912,0.989459563050977
"57","atmosphere of earth",4653,0.0311879993565339,0.989267918742813
"58","motor vehicle",4587,0.0307456163869376,0.989076274434649
"59","reservoir",4567,0.0306115609416054,0.988884630126485
"60","adventure",4551,0.0305043165853397,0.988692985818321
"61","ocean",4383,0.0293782508445493,0.988501341510157
"62","trail",4363,0.0292441953992171,0.988309697201993
"63","flower",4355,0.0291905732210842,0.988118052893829
"64","boat",4273,0.0286409458952223,0.987926408585665
"65","transport",4225,0.028319212826425,0.987734764277501
"66","autumn",4110,0.0275483940157649,0.987543119969337
"67","branch",4069,0.0272735803528339,0.987351475661173
"68","leisure",3966,0.0265831948093732,0.987159831353009
"69","creek",3949,0.0264692476808408,0.986968187044845
"70","child",3833,0.0256917260979141,0.986776542736681
"71","event",3779,0.0253297763955172,0.986584898428517
"72","coastal and oceanic landforms",3764,0.025229234811518,0.986393254120353
"73","rural area",3580,0.0239959247144619,0.986201609812189
"74","building",3528,0.0236473805565982,0.986009965504025
"75","geology",3435,0.0230240227358035,0.98581832119586
"76","property",3331,0.0223269344200761,0.985626676887696
"77","wildlife",3323,0.0222733122419433,0.985435032579532
"78","night",3280,0.0219850930344791,0.985243388271368
"79","green",3236,0.0216901710547482,0.985051743963204
"80","field",3224,0.0216097377875489,0.98486009965504
"81","black and white",3198,0.0214354657086171,0.984668455346876
"82","fell",3188,0.021368437985951,0.984476811038712
"83","organism",3185,0.0213483296691512,0.984285166730548
"84","infrastructure",3142,0.021060110461687,0.984093522422384
"85","window",3126,0.0209528661054212,0.98390187811422
"86","smile",3054,0.0204702665022253,0.983710233806056
"87","darkness",3041,0.0203831304627594,0.983518589497892
"88","cottage",3023,0.0202624805619604,0.983326945189728
"89","product",3021,0.0202490750174272,0.983135300881564
"90","grassland",3017,0.0202222639283608,0.9829436565734
"91","real estate",3012,0.0201887500670277,0.982752012265236
"92","ice",2946,0.0197463670974315,0.982560367957072
"93","phenomenon",2929,0.0196324199688991,0.982368723648908
"94","mount scenery",2920,0.0195720950184997,0.982177079340744
"95","tourism",2881,0.0193106869001019,0.98198543503258
"96","insect",2860,0.0191699286825031,0.981793790724416
"97","hill station",2808,0.0188213845246394,0.981602146416251
"98","water transportation",2793,0.0187208429406402,0.981410502108087
"99","bird",2779,0.0186270041289077,0.981218857799923
"100","calm",2751,0.0184393265054427,0.981027213491759
"101","photography",2720,0.0182315405651778,0.980835569183595
"102","sunset",2710,0.0181645128425117,0.980643924875431
"103","dawn",2683,0.0179835379913132,0.980356458413185
"104","invertebrate",2683,0.0179835379913132,0.980356458413185
"105","soil",2589,0.0173534773982519,0.980068991950939
"106","waterfall",2577,0.0172730441310526,0.979877347642775
"107","vertebrate",2569,0.0172194219529197,0.979685703334611
"108","promontory",2554,0.0171188803689206,0.979494059026447
"109","bank",2473,0.0165759558153252,0.979302414718283
"110","mode of transport",2471,0.016562550270792,0.979110770410119
"111","monochrome photography",2443,0.0163748726473269,0.978919126101955
"112","evening",2424,0.0162475199742614,0.978727481793791
"113","biome",2396,0.0160598423507963,0.978535837485627
"114","old growth forest",2347,0.0157314065097324,0.978344193177463
"115","dog like mammal",2330,0.0156174593812001,0.978152548869299
"116","wetland",2317,0.0155303233417341,0.977960904561134
"117","light",2308,0.0154699983913347,0.977769260252971
"118","furniture",2298,0.0154029706686686,0.977577615944806
"119","sunrise",2274,0.0152421041342699,0.977385971636642
"120","beak",2233,0.0149672904713389,0.977194327328478
"121","water feature",2227,0.0149270738377393,0.977002683020314
"122","land vehicle",2187,0.0146589629470749,0.97681103871215
"123","dog",2172,0.0145584213630758,0.976619394403986
"124","terrain",2162,0.0144913936404097,0.976427750095822
"125","boating",2155,0.0144444742345434,0.976236105787658
"126","lane",2145,0.0143774465118773,0.976044461479494
"127","sports",2125,0.0142433910665451,0.97585281717133
"128","yellow",2090,0.0140087940372138,0.975661172863166
"129","spring",2083,0.0139618746313475,0.975469528555002
"130","outdoor structure",2066,0.0138479275028152,0.975277884246838
"131","daytime",2014,0.0134993833449515,0.975086239938674
"132","meadow",2008,0.0134591667113518,0.97489459563051
"133","shrubland",1981,0.0132781918601534,0.974702951322346
"134","people",1972,0.0132178669097539,0.974511307014182
"135","residential area",1967,0.0131843530484208,0.974319662706018
"136","grass family",1963,0.0131575419593544,0.974128018397854
"137","architecture",1939,0.0129966754249558,0.97393637408969
"138","automotive exterior",1924,0.0128961338409566,0.973744729781525
"139","food",1891,0.0126749423561585,0.973553085473361
"140","font",1871,0.0125408869108263,0.973361441165197
"141","mammal",1868,0.0125207785940265,0.973169796857033
"142","snout",1845,0.0123666148318945,0.972978152548869
"143","facade",1841,0.012339803742828,0.972786508240705
"144","bridge",1837,0.0123129926537616,0.972594863932541
"145","room",1835,0.0122995871092284,0.972403219624377
"146","asphalt",1829,0.0122593704756287,0.972211575316213
"147","track",1828,0.0122526677033621,0.972019931008049
"148","macro photography",1810,0.0121320178025631,0.971828286699885
"149","sunlight",1803,0.0120850983966969,0.971636642391721
"150","garden",1797,0.0120448817630972,0.971444998083557
"151","interior design",1783,0.0119510429513647,0.971253353775393
"152","temperate broadleaf and mixed forest",1779,0.0119242318622982,0.971061709467229
"153","table",1778,0.0119175290900316,0.970870065159065
"154","bedrock",1769,0.0118572041396322,0.970678420850901
"155","automotive design",1762,0.0118102847337659,0.970486776542737
"156","lawn",1723,0.0115488766153681,0.970295132234573
"157","deciduous",1707,0.0114416322591024,0.970103487926409
"158","sitting",1705,0.0114282267145691,0.969911843618245
"159","spruce fir forest",1698,0.0113813073087029,0.96972019931008
"160","blue",1695,0.0113611989919031,0.969528555001916
"161","headgear",1681,0.0112673601801705,0.969336910693752
"162","rail transport",1677,0.0112405490911041,0.969145266385588
"163","flowering plant",1673,0.0112137380020376,0.968953622077424
"164","pollinator",1664,0.0111534130516382,0.96876197776926
"165","sign",1655,0.0110930881012387,0.968474511307014
"166","wall",1655,0.0110930881012387,0.968474511307014
"167","glasses",1649,0.011052871467639,0.968187044844768
"168","winter sport",1636,0.0109657354281731,0.967995400536604
"169","male",1623,0.0108785993887072,0.96780375622844
"170","outcrop",1621,0.0108651938441739,0.967612111920276
"171","team sport",1620,0.0108584910719073,0.967420467612112
"172","highway",1601,0.0107311383988418,0.967228823303948
"173","flooring",1556,0.0104295136468443,0.966941356841702
"174","jungle",1556,0.0104295136468443,0.966941356841702
"175","national park",1554,0.0104161081023111,0.966653890379456
"176","pasture",1542,0.0103356748351118,0.966462246071292
"177","arthropod",1539,0.010315566518312,0.966270601763128
"178","toddler",1534,0.0102820526569789,0.966078957454964
"179","signage",1530,0.0102552415679125,0.9658873131468
"180","dog breed",1528,0.0102418360233793,0.965695668838635
"181","photograph",1518,0.0101748083007132,0.965504024530471
"182","estate",1499,0.0100474556276476,0.965312380222307
"183","beach",1487,0.00996702236044828,0.965120735914143
"184","lighting",1483,0.00994021127138184,0.964929091605979
"185","sunglasses",1482,0.00993350849911523,0.964737447297815
"186","day",1470,0.00985307523191592,0.964545802989651
"187","floor",1462,0.00979945305378305,0.964354158681487
"188","monochrome",1456,0.00975923642018339,0.964162514373323
"189","wildflower",1440,0.00965199206391764,0.963970870065159
"190","black",1431,0.00959166711351815,0.963779225756995
"191","moths and butterflies",1406,0.00942409780685291,0.963587581448831
"192","hiking",1405,0.0094173950345863,0.963300114986585
"193","play",1405,0.0094173950345863,0.963300114986585
"194","man",1348,0.00903533701538957,0.963012648524339
"195","shrub",1325,0.00888117325325755,0.962821004216175
"196","crowd",1323,0.00886776770872433,0.962629359908011
"197","roof",1318,0.00883425384739128,0.962437715599847
"198","headland",1317,0.00882755107512467,0.962246071291683
"199","watercraft",1311,0.00878733444152502,0.962054426983519
"200","train",1309,0.0087739288969918,0.961862782675355
"201","ball game",1305,0.00874711780792536,0.961671138367191
"202","neighbourhood",1303,0.00873371226339214,0.961479494059026
"203","close up",1302,0.00872700949112553,0.961287849750862
"204","games",1298,0.00870019840205909,0.961096205442698
"205","frost",1278,0.0085661429567269,0.960904561134534
"206","afterglow",1277,0.00855944018446029,0.96071291682637
"207","boats and boating equipment and supplies",1267,0.0084924124617942,0.960521272518206
"208","vision care",1266,0.00848570968952759,0.960329628210042
"209","facial expression",1261,0.00845219582819454,0.960137983901878
"210","player",1255,0.00841197919459488,0.959946339593714
"211","cuisine",1250,0.00837846533326184,0.95975469528555
"212","cliff",1241,0.00831814038286235,0.959563050977386
"213","piste",1230,0.00824440988792965,0.959371406669222
"214","dog breed group",1215,0.00814386830393051,0.959083940206976
"215","public space",1215,0.00814386830393051,0.959083940206976
"216","shed",1205,0.00807684058126441,0.95879647374473
"217","escarpment",1203,0.00806343503673119,0.958604829436566
"218","landmark",1199,0.00803662394766475,0.958413185128402
"219","skin",1185,0.00794278513593222,0.958221540820238
"220","bicycle",1184,0.00793608236366561,0.958029896512074
"221","sport venue",1178,0.00789586573006596,0.95783825220391
"222","pink",1172,0.0078556490964663,0.957646607895746
"223","red",1167,0.00782213523513325,0.957454963587581
"224","formation",1138,0.00762775483940158,0.957263319279417
"225","structure",1133,0.00759424097806853,0.956975852817171
"226","wave",1133,0.00759424097806853,0.956975852817171
"227","rolling stock",1119,0.007500402166336,0.956688386354925
"228","footwear",1118,0.00749369939406939,0.956496742046761
"229","city",1103,0.00739315781007025,0.956305097738597
"230","town",1100,0.00737304949327042,0.956113453430433
"231","trunk",1092,0.00731942731513754,0.955921809122269
"232","grove",1085,0.00727250790927127,0.955730164814105
"233","memorial",1079,0.00723229127567162,0.955538520505941
"234","moth",1074,0.00719877741433857,0.955346876197777
"235","prairie",1071,0.00717866909753874,0.955155231889613
"236","advertising",1057,0.00708483028580621,0.954963587581449
"237","art",1054,0.00706472196900638,0.954771943273285
"238","boulder",1046,0.00701109979087351,0.954580298965121
"239","person",1040,0.00697088315727385,0.954388654656957
"240","ski",1039,0.00696418038500724,0.954197010348793
"241","community",1032,0.00691726097914097,0.954005366040629
"242","personal protective equipment",1029,0.00689715266234114,0.953813721732465
"243","cycling",1021,0.00684353048420827,0.9536220774243
"244","mist",1010,0.00676979998927556,0.953430433116136
"245","team",1009,0.00676309721700896,0.953238788807972
"246","land lot",1004,0.00672958335567591,0.953047144499808
"247","dish",1001,0.00670947503887608,0.952855500191644
"248","eyewear",996,0.00667596117754303,0.95266385588348
"249","locomotive",981,0.00657541959354389,0.952472211575316
"250","yard",980,0.00656871682127728,0.952280567267152
"251","face",978,0.00655531127674406,0.952088922958988
"252","farmhouse",976,0.00654190573221084,0.951897278650824
"253","nose",972,0.0065150946431444,0.95170563434266
"254","tower",970,0.00650168909861119,0.951513990034496
"255","skiing",968,0.00648828355407797,0.951322345726332
"256","log cabin",964,0.00646147246501153,0.951130701418168
"257","race",958,0.00642125583141187,0.950939057110004
"258","headstone",954,0.00639444474234543,0.950555768493676
