"tag","cluster","eigen_centrality","betweenness","closeness","degree.res","degree.centralization","degree.theoretical_max","theme"
"casting fishing",11,0.0011671875830003,202.188902167986,0.000128435653737478,38,0.377733628095018,7433802,"aquatics"
"trout",11,0.00114803042558077,256.87913375763,0.000131371518654756,57,0.377733628095018,7433802,"aquatics"
"dhow",3,0.00111730972645154,4.06443235870967,0.000112892300745089,21,0.377733628095018,7433802,"aquatics"
"wakesurfing",3,0.00101380881614839,114.288182451839,0.000117813383600377,30,0.377733628095018,7433802,"aquatics"
"fly fishing",11,0.00100147001405472,115.49633892507,0.000123304562268804,25,0.377733628095018,7433802,"aquatics"
"brigantine",3,0.000983653411310718,2.17669082491166,0.00010489877268436,25,0.377733628095018,7433802,"aquatics"
"personal water craft",3,0.000957097390496907,131.357844451572,0.000120685493603669,28,0.377733628095018,7433802,"aquatics"
"naval architecture",3,0.000895914577007516,951.246268164843,0.000133832976445396,54,0.377733628095018,7433802,"aquatics"
"salmon",11,0.000841444355088919,953.532851067748,0.000129182276191707,49,0.377733628095018,7433802,"aquatics"
"jet ski",3,0.000832607845042302,153.720505543554,0.000119388729703916,28,0.377733628095018,7433802,"aquatics"
"surfboard",3,0.000724147618817042,25.9667761552708,0.000116795141322121,31,0.377733628095018,7433802,"aquatics"
"cruise ship",3,0.000676353905558539,18.7478288471412,0.000113947128532361,26,0.377733628095018,7433802,"aquatics"
"maritime museum",3,0.000643329219157451,573.313138014342,0.000129416332341141,41,0.377733628095018,7433802,"aquatics"
"sloop",3,0.000608205462777887,23.9775510029534,0.000111098766803688,25,0.377733628095018,7433802,"aquatics"
"heavy lift ship",3,0.000573770528721122,82.7028671863646,0.000116767865483419,30,0.377733628095018,7433802,"aquatics"
"barque",3,0.000550854129208598,23.3019631985043,0.000117674746999294,28,0.377733628095018,7433802,"aquatics"
"raft",3,0.000520547638139275,242.376382386871,0.000129332643559234,28,0.377733628095018,7433802,"aquatics"
"steamboat",3,0.000502952341448194,28.6093833984177,0.00012386968908708,19,0.377733628095018,7433802,"aquatics"
"barquentine",3,0.000497893653627887,2.69237066937521,0.000101502233049127,24,0.377733628095018,7433802,"aquatics"
"navy",3,0.000438177919328658,302.531968401957,0.000121477162293489,31,0.377733628095018,7433802,"aquatics"
"coho",11,0.000434695609031026,5.04800363579745,0.000116157509582995,26,0.377733628095018,7433802,"aquatics"
"ocean liner",3,0.000431052078208363,20.1695581590734,0.000116863386700947,20,0.377733628095018,7433802,"aquatics"
"oil tanker",3,0.000430895648205748,2.26440708646267,0.000102616726526424,16,0.377733628095018,7433802,"aquatics"
"elektroboot",3,0.000425647707886118,87.8095942766256,0.000112321689318207,15,0.377733628095018,7433802,"aquatics"
"barramundi",11,0.00041155340173017,24.2069819125478,0.000121966093426028,31,0.377733628095018,7433802,"aquatics"
"pilot boat",3,0.00040992008384168,86.1404000291453,0.000114652602614079,20,0.377733628095018,7433802,"aquatics"
"battleship",3,0.000390051878065685,85.8122753511482,0.00011997600479904,29,0.377733628095018,7433802,"aquatics"
"naval ship",3,0.000384996515356709,67.0147025400408,0.000122895416000983,26,0.377733628095018,7433802,"aquatics"
"windsurfing",3,0.000384405175994373,32.9113151521042,0.00012169891687964,17,0.377733628095018,7433802,"aquatics"
"jigging",11,0.000379295957642357,37.9314102359353,0.000118427285646613,24,0.377733628095018,7433802,"aquatics"
"cod",11,0.000371505140539407,332.262692544403,0.000127226463104326,41,0.377733628095018,7433802,"aquatics"
"destroyer",3,0.000364229058297074,47.4029261114943,0.000114090131203651,22,0.377733628095018,7433802,"aquatics"
"luxury yacht",3,0.000338945074485407,6.34338399022728,0.000118049817022784,21,0.377733628095018,7433802,"aquatics"
"caravel",3,0.000311046923764015,237.971807384748,0.000122174709835064,30,0.377733628095018,7433802,"aquatics"
"northern pike",11,0.000290086743972094,384.415581371639,0.000123731749566939,34,0.377733628095018,7433802,"aquatics"
"floating production storage and offloading",3,0.000278287681874312,21.0862297087176,0.000114259597806216,21,0.377733628095018,7433802,"aquatics"
"whaler",3,0.000277169190093072,139.97926850101,0.000117027501462844,19,0.377733628095018,7433802,"aquatics"
